,Player Name,Team,Games,Innings Pitched,Starts,Quality Starts,Quality Start %,K/BB,K/9IP,BB/9IP,HR/9IP,Batting Avg on Balls IP,Strand Rate,FB VLO,ERA,Fielding Ind Pitching
207,"Morin, Michael",LAA,33,33.3,0,0,0.0,3.11,7.56,2.43,1.08,.258,59.4,91.2,4.59,3.92
208,"Osuna, Roberto",TOR,33,33.3,0,0,0.0,5.86,11.07,1.89,0.81,.284,82.1,95.9,2.16,2.56
209,"Jennings, Dan",CWS,27,33.3,0,0,0.0,1.12,5.13,4.59,0.00,.279,84.8,90.6,1.89,3.64
210,"Ziegler, Brad",ARI,31,33.3,0,0,0.0,1.83,5.94,3.24,0.00,.314,80.0,83.4,2.43,3.00
211,"Feliz, Michael",HOU,20,33.3,0,0,0.0,4.89,11.88,2.43,1.35,.265,66.7,94.6,3.78,3.35
212,"Foltynewicz, Mike",ATL,6,33.3,6,3,50.0,3.50,7.56,2.16,1.62,.298,80.6,95.0,3.51,4.60
213,"Wilson, Alex",DET,29,32.7,0,0,0.0,2.40,6.61,2.76,0.55,.320,71.4,91.3,3.86,3.48
214,"Harris, Will",HOU,32,32.7,0,0,0.0,5.33,8.82,1.65,0.00,.259,88.9,92.2,0.83,1.81
215,"Miller, Andrew",NYY,32,32.7,0,0,0.0,20.00,16.53,0.83,0.83,.304,94.1,94.4,1.10,1.01
216,"Britton, Zach",BAL,32,32.7,0,0,0.0,4.75,10.47,2.20,0.28,.239,92.0,96.0,0.83,2.03
217,"Miller, Justin",COL,29,32.7,0,0,0.0,2.43,9.37,3.86,1.38,.355,67.4,93.3,5.51,4.44
218,"Cingrani, Tony",CIN,35,32.7,0,0,0.0,1.32,6.89,5.23,1.10,.255,76.2,93.7,3.86,5.06
219,"Gearrin, Cory",SF,35,32.7,0,0,0.0,3.13,6.89,2.20,0.28,.247,76.7,91.5,2.20,2.83
220,"Vizcaino, Arodys",ATL,33,32.3,0,0,0.0,2.93,12.25,4.18,0.56,.328,86.8,97.5,1.95,2.72
221,"Ramirez, J.C.",CIN,27,32.3,0,0,0.0,3.11,7.79,2.51,1.95,.307,56.8,96.2,6.40,5.15
222,"Rivero, Felipe",WAS,36,32.0,0,0,0.0,3.55,10.97,3.09,1.13,.310,44.1,94.9,6.47,3.45
223,"Cahill, Trevor",CHC,27,32.0,0,0,0.0,1.94,9.84,5.06,1.13,.246,86.1,92.5,2.53,4.38
224,"Watson, Tony",PIT,32,32.0,0,0,0.0,2.73,8.44,3.09,1.13,.230,72.4,93.1,3.38,4.02
225,"Thornburg, Tyler",MIL,33,31.7,0,0,0.0,4.00,12.51,3.13,1.42,.223,79.2,94.3,2.84,3.55
226,"Allen, Cody",CLE,31,31.7,0,0,0.0,2.44,11.08,4.55,0.85,.253,75.8,94.2,3.13,3.53
227,"Robertson, David",CWS,30,31.7,0,0,0.0,1.89,10.23,5.40,0.28,.328,75.6,91.8,3.41,3.20
228,"Barnette, Tony",TEX,29,31.7,0,0,0.0,3.29,6.54,1.99,0.57,.346,78.6,92.4,3.13,3.25
229,"Gregerson, Luke",HOU,32,31.3,0,0,0.0,4.50,10.34,2.30,0.57,.266,59.3,89.3,3.73,2.52
230,"Treinen, Blake",WAS,32,31.3,0,0,0.0,1.94,8.90,4.60,0.86,.268,89.2,95.0,2.01,4.05
231,"Ogando, Alexi",ATL,35,31.3,0,0,0.0,1.26,8.33,6.61,0.57,.313,80.0,94.0,3.45,4.45
232,"Iglesias, Raisel",CIN,7,31.3,5,2,40.0,3.88,8.90,2.30,1.44,.351,82.1,90.7,3.45,4.09
233,"Madson, Ryan",OAK,32,31.0,0,0,0.0,2.78,7.26,2.61,0.58,.286,82.4,94.3,2.32,3.33
234,"Quackenbush, Kevin",SD,32,31.0,0,0,0.0,1.33,4.65,3.48,1.16,.192,69.0,90.8,3.77,5.05
235,"Giles, Ken",HOU,35,31.0,0,0,0.0,4.10,11.90,2.90,1.45,.400,68.3,96.8,5.23,3.65
236,"Ramos, A.J.",MIA,33,31.0,0,0,0.0,2.11,11.03,5.23,0.00,.278,83.8,91.7,1.74,2.55
237,"Nuno, Vidal",SEA,27,31.0,1,0,0.0,4.43,9.00,2.03,1.16,.315,81.8,89.5,2.90,3.58
238,"Hatcher, Chris",LAD,29,31.0,0,0,0.0,1.82,9.00,4.94,1.74,.271,73.7,95.7,4.65,5.42
239,"Floyd, Gavin",TOR,28,31.0,0,0,0.0,3.75,8.71,2.32,1.16,.249,63.0,93.0,4.06,3.74
240,"Barraclough, Kyle",MIA,34,30.7,0,0,0.0,2.29,16.14,7.04,0.29,.376,79.1,95.5,2.93,2.46
241,"Albers, Matt",CWS,34,30.7,0,0,0.0,1.82,5.87,3.23,1.76,.296,69.2,92.2,5.28,5.55
242,"Colome, Alex",TB,29,30.7,0,0,0.0,3.45,11.15,3.23,0.59,.302,87.5,94.7,1.76,2.68
243,"Doolittle, Sean",OAK,35,30.7,0,0,0.0,4.38,10.27,2.35,1.47,.270,81.5,94.9,2.93,3.85
244,"Jansen, Kenley",LAD,32,30.3,0,0,0.0,8.75,10.38,1.19,0.30,.240,80.0,92.8,1.48,1.73
245,"Wood, Travis",CHC,36,30.0,0,0,0.0,1.69,6.60,3.90,0.90,.149,83.3,90.3,2.10,4.38
246,"Hembree, Heath",BOS,18,30.0,0,0,0.0,3.75,9.00,2.40,0.90,.331,88.6,93.7,2.10,3.33
247,"Kimbrel, Craig",BOS,30,30.0,0,0,0.0,4.09,13.50,3.30,0.60,.233,73.9,97.4,2.40,2.20
248,"Bundy, Dylan",BAL,19,30.0,0,0,0.0,2.11,5.70,2.70,0.90,.348,77.3,93.5,3.90,4.16
249,"Wang, Chien-Ming",KC,23,30.0,0,0,0.0,1.90,5.70,3.00,1.20,.299,76.3,91.5,3.90,4.70
250,"Hochevar, Luke",KC,31,29.7,0,0,0.0,5.67,10.31,1.82,1.21,.255,73.9,94.4,3.03,3.29
251,"Bastardo, Antonio",NYM,28,29.7,0,0,0.0,1.88,9.71,5.16,1.52,.308,75.0,91.2,4.55,5.01
252,"Casilla, Santiago",SF,32,29.7,0,0,0.0,4.88,11.83,2.43,1.21,.309,85.7,93.5,2.43,3.16
253,"Paxton, James",SEA,5,29.7,5,3,60.0,3.78,10.31,2.73,0.91,.420,82.2,97.4,3.34,3.16
254,"Hudson, Daniel",ARI,32,29.3,0,0,0.0,2.40,7.36,3.07,0.61,.225,66.7,95.5,3.38,3.51
255,"Boyd, Matt",DET,6,29.3,5,0,0.0,1.91,6.44,3.38,1.53,.304,57.9,91.2,6.44,5.15
256,"Melancon, Mark",PIT,32,29.3,0,0,0.0,2.88,7.06,2.45,0.31,.278,87.1,91.5,1.53,2.92
257,"Axford, John",OAK,31,29.3,0,0,0.0,2.78,7.67,2.76,1.23,.319,77.8,95.6,3.68,4.22
258,"Chavez, Jesse",TOR,29,29.0,0,0,0.0,3.56,9.93,2.79,1.86,.297,83.3,93.3,3.41,4.64
259,"Otero, Dan",CLE,26,29.0,0,0,0.0,4.33,8.07,1.86,0.00,.326,90.9,90.0,0.93,2.05
260,"Shaw, Bryan",CLE,34,29.0,0,0,0.0,3.20,9.93,3.10,2.17,.316,72.7,0.0,4.97,5.20
261,"Siegrist, Kevin",STL,32,29.0,0,0,0.0,3.20,9.93,3.10,1.55,.207,82.6,93.3,2.79,4.30
262,"Strop, Pedro",CHC,33,28.7,0,0,0.0,4.67,13.19,2.83,0.94,.279,70.8,94.9,3.14,2.60
263,"Rodney, Fernando",SD,28,28.7,0,0,0.0,2.75,10.36,3.77,0.00,.214,96.0,94.4,0.31,2.20
264,"Broxton, Jonathan",STL,31,28.7,0,0,0.0,1.60,7.53,4.71,0.63,.230,68.8,94.2,3.77,4.05
265,"Coleman, Louis",LAD,34,28.7,0,0,0.0,2.07,9.10,4.40,0.31,.298,69.4,89.2,3.77,3.14
266,"Jepsen, Kevin",MIN,31,28.7,0,0,0.0,1.75,6.59,3.77,2.20,.355,71.1,94.0,6.28,6.21
267,"Diekman, Jake",TEX,34,28.3,0,0,0.0,3.40,10.80,3.18,0.95,.221,73.9,95.5,2.86,3.27
268,"Clippard, Tyler",ARI,31,28.3,0,0,0.0,3.20,10.16,3.18,1.59,.305,83.9,90.7,3.18,4.33
269,"Storen, Drew",TOR,32,28.3,0,0,0.0,3.63,9.21,2.54,1.59,.371,71.1,92.0,5.08,4.32
270,"Strickland, Hunter",SF,35,28.3,0,0,0.0,3.71,8.26,2.22,0.32,.290,72.4,96.3,2.86,2.59
271,"Tazawa, Junichi",BOS,31,28.3,0,0,0.0,4.71,10.48,2.22,1.27,.254,73.9,93.0,3.18,3.47
272,"Gallardo, Yovani",BAL,6,28.3,6,0,0.0,1.31,5.40,4.13,0.95,.337,64.4,87.7,6.04,4.80
273,"Gant, John",ATL,10,28.3,3,1,33.3,2.64,9.21,3.49,0.95,.329,69.4,92.0,4.45,3.73
274,"Wilson, Justin",DET,32,28.3,0,0,0.0,7.20,11.44,1.59,0.32,.353,65.5,95.0,3.49,1.66
275,"Germen, Gonzalez",COL,26,28.0,0,0,0.0,1.50,7.71,5.14,1.29,.286,76.3,93.6,4.18,5.11
276,"Bassitt, Chris",OAK,5,28.0,5,2,40.0,1.64,7.39,4.50,1.61,.349,68.2,92.6,6.11,5.43
277,"Feliz, Neftali",PIT,34,28.0,0,0,0.0,5.33,10.29,1.93,1.29,.230,70.0,95.4,3.21,3.44
278,"Bolsinger, Michael",LAD,6,27.7,6,0,0.0,2.78,8.13,2.93,2.28,.329,60.0,87.7,6.83,5.69
279,"Bowman, Matt",STL,21,27.7,0,0,0.0,3.50,6.83,1.95,0.98,.269,66.7,0.0,3.90,3.76
280,"Uehara, Koji",BOS,29,27.3,0,0,0.0,5.13,13.50,2.63,1.65,.307,62.5,86.9,4.61,3.49
281,"McGowan, Dustin",MIA,22,27.3,0,0,0.0,1.85,7.90,4.28,0.66,.197,73.1,94.6,2.96,3.87
282,"Putnam, Zach",CWS,25,27.3,0,0,0.0,2.73,9.88,3.62,0.66,.328,85.3,90.6,2.30,3.20
283,"Milone, Tommy",MIN,6,27.0,5,0,0.0,2.22,6.67,3.00,1.67,.325,69.4,87.2,5.33,5.16
284,"Urias, Julio",LAD,6,27.0,6,0,0.0,3.89,11.67,3.00,1.33,.396,75.0,93.2,4.33,3.57
285,"Rodriguez, Eduardo",BOS,5,26.7,5,2,40.0,1.73,6.41,3.71,2.36,.272,62.5,93.3,6.41,6.47
286,"Chacin, Jhoulys",ATL,5,26.7,5,1,20.0,3.38,9.11,2.70,1.35,.342,63.6,90.0,5.40,4.06
287,"Rodriguez, Francisco",DET,29,26.7,0,0,0.0,3.11,9.45,3.04,0.67,.298,72.4,88.6,3.38,3.12
288,"May, Trevor",MIN,29,26.7,0,0,0.0,4.00,13.50,3.38,1.69,.415,62.9,94.2,6.08,3.80
289,"Bailey, Andrew",PHI,25,26.7,0,0,0.0,3.11,9.45,3.04,1.35,.241,62.5,92.0,4.39,4.10
290,"Estevez, Carlos",COL,28,26.3,0,0,0.0,2.45,9.23,3.76,1.37,.287,70.0,97.0,4.44,4.42
291,"Kelley, Shawn",WAS,30,26.3,0,0,0.0,6.17,12.65,2.05,0.68,.287,76.2,92.0,2.39,2.08
292,"Yates, Kirby",NYY,28,26.3,0,0,0.0,2.46,10.94,4.44,0.68,.342,65.7,93.1,4.78,3.29
293,"Davis, Wade",KC,27,26.3,0,0,0.0,2.36,8.89,3.76,0.00,.225,88.0,94.8,1.03,2.52
294,"Barrett, Jake",ARI,29,26.0,0,0,0.0,4.33,9.00,2.08,1.04,.276,87.5,94.8,2.08,3.42
295,"Bedrosian, Cam",LAA,30,26.0,0,0,0.0,3.50,9.69,2.77,0.35,.317,89.7,95.2,1.38,2.50
296,"Grimm, Justin",CHC,34,26.0,0,0,0.0,2.33,9.69,4.15,1.38,.337,62.9,94.3,5.88,4.48
297,"Duke, Zach",CWS,39,25.7,0,0,0.0,2.64,10.17,3.86,0.35,.336,78.8,89.4,2.81,2.78
298,"Romero, Enny",TB,27,25.7,0,0,0.0,1.67,8.77,5.26,1.05,.252,74.2,95.9,3.86,4.58
299,"Warren, Adam",CHC,25,25.7,0,0,0.0,1.29,6.31,4.91,1.40,.249,71.9,92.9,4.56,5.51
300,"Rondon, Hector",CHC,26,25.7,0,0,0.0,11.33,11.92,1.05,0.70,.223,85.7,96.0,1.40,1.93
301,"Law, Derek",SF,25,25.7,0,0,0.0,6.00,8.42,1.40,0.35,.332,75.0,93.2,2.81,2.32
302,"Blazek, Michael",MIL,27,25.7,0,0,0.0,1.29,7.71,5.96,0.70,.357,80.0,93.2,3.86,4.55
303,"Caminero, Arquimedes",PIT,25,25.7,0,0,0.0,0.89,5.96,6.66,1.05,.366,82.4,97.5,4.21,5.69
304,"Greene, Shane",DET,15,25.3,3,1,33.3,2.08,8.88,4.26,0.00,.279,53.3,93.1,4.97,2.69
305,"Henderson, Jim",NYM,31,25.3,0,0,0.0,2.31,10.66,4.62,1.78,.279,75.9,93.5,4.26,4.99
306,"Smith, Joe",LAA,25,25.3,0,0,0.0,1.55,6.04,3.91,1.07,.238,71.4,88.2,3.91,4.74
307,"Rzepczynski, Marc",OAK,34,25.3,0,0,0.0,1.86,9.24,4.97,0.36,.355,82.1,91.4,2.84,3.37
308,"Ryan, Kyle",DET,25,25.3,0,0,0.0,3.00,5.33,1.78,0.36,.315,77.4,88.5,2.84,3.14
309,"Abad, Fernando",MIN,30,25.0,0,0,0.0,2.88,8.28,2.88,0.36,.275,80.8,90.6,2.16,2.87
310,"Lobstein, Kyle",PIT,14,25.0,0,0,0.0,1.25,5.40,4.32,0.72,.293,74.3,87.4,3.96,4.53
311,"Solis, Sammy",WAS,20,24.7,0,0,0.0,2.50,10.95,4.38,0.36,.233,87.5,93.7,1.46,2.80
312,"Biagini, Joe",TOR,25,24.7,0,0,0.0,1.90,6.93,3.65,0.00,.365,79.5,0.0,2.92,2.92
313,"Johnson, Jim",ATL,25,24.7,0,0,0.0,2.88,8.39,2.92,0.73,.311,62.1,92.5,4.74,3.39
314,"Papelbon, Jonathan",WAS,25,24.7,0,0,0.0,2.38,6.93,2.92,0.73,.313,77.4,90.7,3.28,3.72
315,"Cedeno, Xavier",TB,30,24.3,0,0,0.0,2.67,8.88,3.33,0.37,.287,66.7,90.5,3.70,2.91
316,"Cotham, Caleb",CIN,23,24.3,0,0,0.0,1.75,7.77,4.44,1.11,.378,58.5,92.3,7.40,4.61
317,"Medlen, Kris",KC,6,24.3,6,1,16.7,0.90,6.66,7.40,0.74,.356,60.4,90.7,7.77,5.34
318,"Rosenthal, Trevor",STL,29,24.0,0,0,0.0,1.71,13.50,7.88,1.13,.441,73.9,96.9,5.63,4.54
319,"Lowe, Mark",DET,28,24.0,0,0,0.0,1.73,7.13,4.13,3.00,.348,48.6,92.2,10.13,7.37
320,"Tolleson, Shawn",TEX,26,24.0,0,0,0.0,2.50,7.50,3.00,2.25,.335,59.4,93.0,7.13,5.82
321,"Liberatore, Adam",LAD,32,24.0,0,0,0.0,2.78,9.38,3.38,0.00,.260,91.7,91.7,0.75,2.28
322,"Capuano, Chris",MIL,16,24.0,0,0,0.0,1.80,10.13,5.63,2.63,.282,87.1,88.5,4.13,6.68
323,"Ross, Robbie",BOS,21,24.0,0,0,0.0,3.33,11.25,3.38,0.38,.323,70.4,93.9,3.38,2.40
324,"Lyles, Jordan",COL,7,23.7,5,1,20.0,1.00,5.32,5.32,0.76,.347,54.8,92.7,7.99,4.95
325,"McAllister, Zach",CLE,26,23.3,0,0,0.0,2.40,9.26,3.86,1.16,.334,80.6,94.2,3.47,4.14
326,"Neshek, Pat",HOU,30,23.3,0,0,0.0,3.67,8.49,2.31,1.54,.170,73.3,89.1,3.09,4.34
327,"Cervenka, Hunter",ATL,34,23.3,0,0,0.0,2.21,11.96,5.40,0.39,.256,76.9,92.7,2.70,2.96
328,"Peralta, Joel",SEA,26,23.3,0,0,0.0,4.00,10.80,2.70,2.70,.310,70.8,89.8,5.40,5.63
329,"Araujo, Elvis",PHI,27,23.0,0,0,0.0,2.15,10.96,5.09,1.57,.423,72.5,92.3,5.87,4.78
330,"Murray, Colton",PHI,17,23.0,0,0,0.0,2.00,7.04,3.52,1.57,.255,72.0,93.5,4.30,5.11
331,"Sipp, Tony",HOU,31,23.0,0,0,0.0,3.83,9.00,2.35,2.35,.323,80.8,90.2,4.30,5.40
332,"Howell, J.P.",LAD,28,23.0,0,0,0.0,1.67,5.87,3.52,0.78,.276,64.3,85.5,4.70,4.24
333,"McFarland, T.J.",BAL,14,23.0,0,0,0.0,0.75,2.35,3.13,0.39,.314,68.6,91.8,4.70,4.32
334,"Kelly, Joe",BOS,6,22.3,6,1,16.7,1.42,10.88,7.66,1.61,.429,63.0,95.1,8.46,5.75
335,"Qualls, Chad",COL,31,22.3,0,0,0.0,1.67,4.03,2.42,1.21,.346,67.6,90.4,5.64,4.88
336,"Rogers, Taylor",MIN,20,22.3,0,0,0.0,5.00,8.06,1.61,1.61,.349,81.5,91.8,3.63,4.29
337,"Goody, Nick",NYY,19,22.0,0,0,0.0,5.20,10.64,2.05,2.05,.357,72.0,0.0,4.91,4.50
338,"Osich, Josh",SF,37,22.0,0,0,0.0,1.45,6.55,4.50,2.05,.246,80.8,95.3,4.09,6.25
339,"Taillon, Jameson",PIT,4,22.0,4,2,50.0,3.00,6.14,2.05,1.64,.298,72.0,94.7,4.50,4.90
340,"Rasmus, Cory",LAA,14,21.7,1,0,0.0,0.93,5.40,5.82,1.25,.225,64.3,92.0,5.40,5.80
341,"Kontos, George",SF,26,21.7,0,0,0.0,3.20,6.65,2.08,1.25,.250,80.0,91.2,2.91,4.24
342,"Vogelsong, Ryan",PIT,12,21.7,2,0,0.0,1.60,6.65,4.15,1.25,.296,79.3,91.0,3.74,4.95
343,"McGee, Jake",COL,24,21.7,0,0,0.0,2.50,6.23,2.49,1.25,.352,71.0,93.5,4.98,4.47
344,"Wilhelmsen, Tom",TEX,21,21.3,0,0,0.0,1.22,4.64,3.80,2.95,.387,55.0,94.3,10.55,7.74
345,"Moscot, Jon",CIN,5,21.3,5,0,0.0,1.00,4.22,4.22,4.22,.242,65.4,90.7,8.02,9.81
346,"Layne, Tom",BOS,23,21.0,0,0,0.0,1.90,8.14,4.29,0.43,.285,69.2,90.1,3.86,3.49
347,"Triggs, Andrew",OAK,11,21.0,1,0,0.0,3.80,8.14,2.14,1.71,.364,53.6,90.7,7.29,4.60
348,"Hughes, Jared",PIT,26,21.0,0,0,0.0,0.75,3.86,5.14,1.29,.314,77.1,92.5,4.71,5.97
349,"Jungmann, Taylor",MIL,5,20.7,5,0,0.0,1.00,5.66,5.66,1.31,.346,51.4,89.5,9.15,5.78
350,"Hendriks, Liam",OAK,14,20.7,0,0,0.0,22.00,9.58,0.44,1.31,.453,58.1,94.0,6.97,3.11
351,"Achter, A.J.",LAA,12,20.3,0,0,0.0,2.25,3.98,1.77,2.21,.293,83.3,91.0,3.98,6.12
352,"Urena, Jose",MIA,16,20.3,0,0,0.0,1.20,5.31,4.43,0.89,.346,55.9,95.1,7.52,4.82
353,"Blevins, Jerry",NYM,33,20.3,0,0,0.0,4.20,9.30,2.21,0.44,.278,84.2,88.3,1.77,2.54
354,"O'Day, Darren",BAL,22,20.0,0,0,0.0,2.78,11.25,4.05,2.25,.293,90.9,86.2,3.15,5.35
355,"Geltz, Steve",TB,21,20.0,0,0,0.0,2.83,7.65,2.70,4.50,.169,64.3,92.4,6.75,8.93
356,"Chapman, Aroldis",NYY,21,20.0,0,0,0.0,10.33,13.95,1.35,0.90,.355,76.5,99.8,2.70,1.87
357,"Manship, Jeff",CLE,23,20.0,0,0,0.0,1.10,4.95,4.50,1.35,.261,88.5,90.9,2.70,5.60
358,"Withrow, Chris",ATL,25,19.7,0,0,0.0,1.27,6.41,5.03,0.92,.239,70.8,93.2,4.12,4.83
359,"Kintzler, Brandon",MIN,20,19.7,0,0,0.0,7.00,6.41,0.92,1.83,.252,87.5,92.5,2.75,4.74
360,"Chafin, Andrew",ARI,27,19.7,0,0,0.0,2.56,10.53,4.12,0.46,.393,46.7,93.0,7.78,2.94
361,"O'Flaherty, Eric",ATL,27,19.3,0,0,0.0,3.00,6.98,2.33,1.40,.358,59.3,90.5,6.52,4.47
362,"Adleman, Tim",CIN,4,19.3,4,1,25.0,1.78,7.45,4.19,1.40,.280,79.2,0.0,3.72,5.01
363,"Wittgren, Nick",MIA,15,19.0,0,0,0.0,5.25,9.95,1.89,0.95,.301,77.8,91.7,2.84,3.01
364,"Shreve, Chasen",NYY,19,19.0,0,0,0.0,4.00,7.58,1.89,3.32,.210,71.4,91.4,5.21,6.96
365,"VerHagen, Drew",DET,19,19.0,0,0,0.0,1.43,4.74,3.32,1.42,.365,62.5,94.4,7.11,5.34
366,"Perez, Oliver",WAS,30,19.0,0,0,0.0,3.00,11.37,3.79,0.47,.351,62.5,91.6,4.74,2.66
367,"Logan, Boone",COL,28,19.0,0,0,0.0,3.00,11.37,3.79,0.00,.289,65.0,93.1,3.32,1.98
368,"Guerra, Deolis",LAA,11,18.7,0,0,0.0,0.00,7.71,0.00,0.48,.262,61.5,90.0,2.89,2.18
369,"Kelly, Casey",ATL,8,18.7,1,0,0.0,0.83,2.41,2.89,0.48,.344,64.5,89.9,5.79,4.36
370,"Mahle, Greg",LAA,24,18.3,0,0,0.0,1.40,6.87,4.91,1.96,.335,75.9,87.1,5.40,6.20
371,"Bergman, Christian",COL,9,18.3,1,0,0.0,4.75,9.33,1.96,1.47,.402,65.4,89.5,5.89,3.93
372,"Claudio, Alex",TEX,13,18.0,0,0,0.0,2.75,5.50,2.00,0.50,.356,69.2,85.1,4.50,3.39
373,"Benoit, Joaquin",SEA,18,18.0,0,0,0.0,1.73,9.50,5.50,1.50,.257,72.7,94.0,4.50,5.15
374,"Bush, Matt",TEX,20,18.0,0,0,0.0,3.80,9.50,2.50,0.50,.290,83.3,0.0,2.00,2.67
375,"Mengden, Daniel",OAK,3,18.0,3,2,66.7,3.50,10.50,3.00,1.50,.320,85.0,91.8,3.00,4.07
376,"Krol, Ian",ATL,22,18.0,0,0,0.0,3.43,12.00,3.50,1.00,.359,86.4,94.2,2.50,3.18
377,"Anderson, Tyler",COL,3,17.7,3,1,33.3,6.00,9.17,1.53,0.00,.361,76.2,90.6,2.55,1.69
378,"Hoover, J.J.",CIN,17,17.7,0,0,0.0,1.50,7.64,5.09,4.08,.341,46.4,91.6,11.72,9.14
379,"Moylan, Peter",KC,12,17.7,0,0,0.0,3.20,8.15,2.55,0.51,.360,75.0,89.6,3.57,3.00
380,"Morris, Bryan",MIA,24,17.7,0,0,0.0,1.30,6.62,5.09,2.04,.230,90.5,93.0,3.06,6.43
381,"Morton, Charlie",PHI,4,17.3,4,2,50.0,2.38,9.87,4.15,0.52,.319,68.2,94.3,4.15,3.19
382,"Grilli, Jason",ATL,21,17.0,0,0,0.0,1.77,12.18,6.88,1.06,.360,70.4,92.0,5.29,4.39
383,"Purke, Matt",CWS,10,17.0,0,0,0.0,1.40,7.41,5.29,0.00,.359,65.5,92.5,5.29,3.38
384,"Eveland, Dana",TB,21,16.7,0,0,0.0,1.31,9.18,7.02,1.62,.375,64.5,89.2,7.56,5.92
385,"Johnson, Steve",SEA,16,16.7,0,0,0.0,1.55,9.18,5.94,1.62,.250,76.2,89.0,4.32,5.55
386,"Scahill, Rob",PIT,15,16.3,0,0,0.0,2.17,7.16,3.31,0.55,.340,69.6,93.6,4.41,3.54
387,"Chamberlain, Joba",CLE,17,16.3,0,0,0.0,2.43,9.37,3.86,0.55,.194,78.6,93.2,2.20,3.24
388,"Webb, Ryan",TB,17,16.3,0,0,0.0,3.33,5.51,1.65,1.10,.357,82.6,91.2,3.31,4.14
389,"Garza, Matt",MIL,3,16.0,3,1,33.3,2.00,4.50,2.25,0.00,.350,79.2,91.9,2.81,2.98
390,"Darvish, Yu",TEX,3,15.7,3,0,0.0,3.17,10.91,3.45,0.57,.304,76.5,93.5,2.87,2.79
391,"Erlin, Robbie",SD,3,15.7,2,1,50.0,4.33,7.47,1.72,1.72,.224,66.7,88.0,4.02,4.62
392,"Fields, Josh",HOU,15,15.7,0,0,0.0,6.67,11.49,1.72,1.15,.465,58.3,94.5,6.89,2.90
393,"DeSclafani, Anthony",CIN,3,15.7,3,2,66.7,1.43,5.74,4.02,1.15,.332,91.7,93.0,2.30,4.97
394,"Boscan, Wilfredo",PIT,6,15.3,1,0,0.0,1.14,4.70,4.11,1.17,.269,55.0,90.6,6.46,5.27
395,"Sturdevant, Tyler",TB,13,15.0,0,0,0.0,2.40,7.20,3.00,0.60,.359,68.2,91.4,4.80,3.50
396,"Smith, Josh",CIN,10,15.0,0,0,0.0,2.80,8.40,3.00,1.20,.298,88.2,91.3,2.40,4.10
397,"Hunter, Tommy",CLE,15,15.0,0,0,0.0,2.00,4.80,2.40,0.60,.243,73.3,94.5,3.00,3.83
398,"Snell, Blake",TB,3,15.0,3,1,33.3,1.71,7.20,4.20,0.00,.359,83.3,93.5,2.40,3.05
399,"Berrios, Jose",MIN,4,15.0,4,0,0.0,1.67,12.00,7.20,3.00,.402,55.6,93.2,10.20,7.35
400,"Cosart, Jarred",MIA,3,14.7,3,0,0.0,0.53,4.91,9.20,0.00,.324,58.1,92.7,7.98,5.28
401,"Johnson, Erik",SD,3,14.7,3,0,0.0,1.60,4.91,3.07,4.30,.350,60.9,89.8,9.82,9.37
402,"Marinez, Jhan",MIL,9,14.7,0,0,0.0,6.00,11.05,1.84,0.61,.421,75.0,94.7,3.68,2.27
403,"Castro, Miguel",COL,19,14.7,0,0,0.0,2.40,7.36,3.07,1.84,.338,65.0,96.1,6.14,5.28
404,"Eflin, Zach",PHI,3,14.3,3,1,33.3,1.50,3.77,2.51,1.88,.304,63.2,92.9,6.28,5.95
405,"Clevinger, Mike",CLE,3,14.3,3,0,0.0,1.86,8.16,4.40,1.88,.322,45.0,92.9,8.79,5.62
406,"Neal, Zach",OAK,6,14.0,1,0,0.0,0.00,3.21,0.00,2.57,.317,43.8,0.0,8.36,6.20
407,"Breslow, Craig",MIA,15,14.0,0,0,0.0,1.75,4.50,2.57,0.64,.381,75.0,89.5,4.50,4.01
408,"Street, Huston",LAA,16,13.7,0,0,0.0,0.88,4.61,5.27,0.66,.292,76.2,87.8,3.95,4.94
409,"Shields, James",CWS,4,13.7,4,0,0.0,0.62,5.27,8.56,3.29,.440,48.6,90.3,15.80,9.73
410,"Coulombe, Daniel",OAK,10,13.7,0,0,0.0,3.00,5.93,1.98,2.63,.234,75.0,89.6,4.61,6.37
411,"Fien, Casey",MIN,14,13.7,0,0,0.0,4.00,7.90,1.98,3.29,.376,63.2,92.9,7.90,6.88
412,"Maness, Seth",STL,14,13.3,0,0,0.0,1.20,4.05,3.38,0.68,.388,68.0,87.4,6.08,4.44
413,"Farmer, Buck",DET,9,13.3,0,0,0.0,2.17,8.78,4.05,0.68,.245,78.6,93.3,2.70,3.62
414,"Flynn, Brian",KC,7,13.3,0,0,0.0,2.17,8.78,4.05,0.68,.222,69.2,92.3,3.38,3.62
415,"Oberg, Scott",COL,9,13.3,0,0,0.0,1.60,5.40,3.38,1.35,.288,76.5,93.8,4.05,5.11
416,"Fien, Casey",LAD,12,13.3,0,0,0.0,6.00,8.10,1.35,2.03,.260,90.9,92.9,2.70,4.79
417,"Alexander, Scott",KC,9,13.0,0,0,0.0,2.20,7.62,3.46,0.69,.353,68.4,89.9,4.85,3.70
418,"Marshall, Evan",ARI,12,13.0,0,0,0.0,1.00,4.85,4.85,0.00,.415,64.3,93.5,6.92,3.79
419,"Barbato, Johnny",NYY,12,13.0,0,0,0.0,3.75,10.38,2.77,1.38,.270,50.0,94.6,5.54,3.85
