205,Ryan Braun,positive
206,Matt Adams,positive
207,Josh Harrison,positive
208,Cheslor Cuthbert,positive
209,Jose Bautista,negative
210,Welington Castillo,negative
211,Buster Posey,positive
212,Mallex Smith,negative
213,Hunter Pence,positive
214,Randal Grichuk,positive
215,Stephen Piscotty,negative
216,Joc Pederson,positive
217,Wilson Ramos,positive
218,Christian Yelich,positive
219,Angel Pagan,positive
220,Steven Souza,positive
221,Adam Duvall,positive
222,Denard Span,negative
223,Adrian Gonzalez,positive
224,Matt Kemp,positive
225,Dustin Pedroia,positive
226,Yasmany Tomas,positive
227,J.T. Realmuto,positive
228,Jean Segura,positive
229,Matt Holliday,positive
230,Anthony Rizzo,positive
231,Yadier Molina,positive
232,Yan Gomes,negative
233,Evan Gattis,negative
234,Joey Rickard,positive
235,Gregor Blanco,negative
236,Didi Gregorius,positive
237,Ian Kinsler,negative
238,Joe Mauer,positive
239,Matt Duffy,positive
240,Prince Fielder,negative
241,Christian Vazquez,negative
242,Kurt Suzuki,negative
243,Kevin Pillar,positive
244,Darwin Barney,positive
245,Howie Kendrick,positive
246,Salvador Perez,negative
247,Jose Ramirez,neutral
248,Javier Baez,positive
