207,Rick Porcello,positive
208,Trevor Bauer,positive
209,Michael Feliz,positive
210,Bud Norris,positive
211,Carlos Villanueva,positive
212,Fernando Rodriguez,neutral
213,Erasmo Ramirez,positive
214,Michael Wacha,positive
215,Tom Koehler,positive
216,Aaron Nola,negative
217,Yordano Ventura,positive
218,Scott Kazmir,positive
