"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Severino Gonzalez",4000,"Phi@SF 04:05PM ET",4.530,"Phi"
"RP","Andrew Chafin",4000,"Ari@Col 04:10PM ET",1.394,"Ari"
"SP","Kyle Crick",4000,"Phi@SF 04:05PM ET",0,"SF"
"RP","Evan Marshall",4000,"Ari@Col 04:10PM ET",0.488,"Ari"
"SP","Adrian Sampson",4000,"StL@Sea 04:10PM ET",0.550,"Sea"
"RP","Carlos Estevez",4000,"Ari@Col 04:10PM ET",2.530,"Col"
"RP","Elvis Araujo",4000,"Phi@SF 04:05PM ET",2.050,"Phi"
"RP","Phil Klein",4000,"Phi@SF 04:05PM ET",3.438,"Phi"
"RP","Dominic Leone",4000,"Ari@Col 04:10PM ET",-0.883,"Ari"
"RP","Silvino Bracho",4000,"Ari@Col 04:10PM ET",0.221,"Ari"
"SP","Zach Eflin",4000,"Phi@SF 04:05PM ET",3.683,"Phi"
"SP","Jake Thompson",4000,"Phi@SF 04:05PM ET",0,"Phi"
"RP","Tyler Wagner",4000,"Ari@Col 04:10PM ET",9.967,"Ari"
"RP","Daniel Stumpf",4000,"Phi@SF 04:05PM ET",-2.100,"Phi"
"RP","Matt Bowman",4000,"StL@Sea 04:10PM ET",3.126,"StL"
"RP","Miguel Castro",4000,"Ari@Col 04:10PM ET",1.189,"Col"
"SP","Jeff Hoffman",4000,"Ari@Col 04:10PM ET",0,"Col"
"SP","Braden Shipley",4000,"Ari@Col 04:10PM ET",0,"Ari"
"RP","Dalier Hinojosa",4000,"Phi@SF 04:05PM ET",2.495,"Phi"
"SP","Cody Reed",4000,"Ari@Col 04:10PM ET",0,"Ari"
"RP","Zac Curtis",4000,"Ari@Col 04:10PM ET",1.261,"Ari"
"OF","Ryan Raburn",3900,"Ari@Col 04:10PM ET",4.702,"Col"
"OF","Andre Ethier",3900,"LAD@Pit 08:08PM ET",0,"LAD"
"C","Yasmani Grandal",3900,"LAD@Pit 08:08PM ET",5.185,"LAD"
"OF","Stephen Piscotty",3900,"StL@Sea 04:10PM ET",8.186,"StL"
"OF","Denard Span",3800,"Phi@SF 04:05PM ET",6.903,"SF"
"OF","Kike Hernandez",3800,"LAD@Pit 08:08PM ET",3.156,"LAD"
"SS","Aledmys Diaz",3800,"StL@Sea 04:10PM ET",8.246,"StL"
"1B","Adrian Gonzalez",3700,"LAD@Pit 08:08PM ET",6.250,"LAD"
"OF","Angel Pagan",3700,"Phi@SF 04:05PM ET",7.333,"SF"
"OF","Gerardo Parra",3700,"Ari@Col 04:10PM ET",6.873,"Col"
"SS","Brandon Crawford",3700,"Phi@SF 04:05PM ET",6.703,"SF"
"3B","Matt Duffy",3700,"Phi@SF 04:05PM ET",6.414,"SF"
"OF","Gregor Blanco",3600,"Phi@SF 04:05PM ET",4.774,"SF"
"3B","Jhonny Peralta",3600,"StL@Sea 04:10PM ET",6.563,"StL"
"1B","Matt Adams",3600,"StL@Sea 04:10PM ET",5.823,"StL"
"C","Chris Iannetta",3500,"StL@Sea 04:10PM ET",5.627,"Sea"
"2B/SS","Daniel Descalso",3500,"Ari@Col 04:10PM ET",5.391,"Col"
"OF","Leonys Martin",3500,"StL@Sea 04:10PM ET",7.517,"Sea"
"OF","Jeremy Hazelbaker",3500,"StL@Sea 04:10PM ET",4.426,"StL"
"2B","Jedd Gyorko",3500,"StL@Sea 04:10PM ET",4.750,"StL"
"1B","Dae-Ho Lee",3400,"StL@Sea 04:10PM ET",5.623,"Sea"
"OF","Will Venable",3300,"LAD@Pit 08:08PM ET",1.500,"LAD"
"C","Nick Hundley",3300,"Ari@Col 04:10PM ET",7.207,"Col"
"1B/OF","Scott Van Slyke",3300,"LAD@Pit 08:08PM ET",3.100,"LAD"
"OF","Jarrett Parker",3300,"Phi@SF 04:05PM ET",5.179,"SF"
"SS","Jose Reyes",3200,"Ari@Col 04:10PM ET",0,"Col"
"OF","Franklin Gutierrez",3200,"StL@Sea 04:10PM ET",5.400,"Sea"
"1B/OF","Ben Paulsen",3200,"Ari@Col 04:10PM ET",3.724,"Col"
"OF","Starling Marte",3200,"LAD@Pit 08:08PM ET",8.971,"Pit"
"OF","Socrates Brito",3200,"Ari@Col 04:10PM ET",4.923,"Ari"
"SS","Ketel Marte",3200,"StL@Sea 04:10PM ET",6.508,"Sea"
"OF","Randal Grichuk",3100,"StL@Sea 04:10PM ET",6.177,"StL"
"C","Dustin Garneau",3100,"Ari@Col 04:10PM ET",4.895,"Col"
"2B/3B","Phil Gosselin",3100,"Ari@Col 04:10PM ET",2.660,"Ari"
"1B","Adam Lind",3000,"StL@Sea 04:10PM ET",6.190,"Sea"
"OF","Norichika Aoki",3000,"StL@Sea 04:10PM ET",5.866,"Sea"
"OF","Odubel Herrera",3000,"Phi@SF 04:05PM ET",7.760,"Phi"
"3B/OF","Brandon Drury",3000,"Ari@Col 04:10PM ET",6.190,"Ari"
"C","Austin Barnes",3000,"LAD@Pit 08:08PM ET",1.600,"LAD"
"2B/SS","Kelby Tomlinson",2900,"Phi@SF 04:05PM ET",4.086,"SF"
"C","A.J. Ellis",2800,"LAD@Pit 08:08PM ET",3.757,"LAD"
"SS","Chris Taylor",2800,"LAD@Pit 08:08PM ET",1.500,"LAD"
"2B/3B","Andres Blanco",2700,"Phi@SF 04:05PM ET",4.211,"Phi"
"OF","Seth Smith",2700,"StL@Sea 04:10PM ET",5.892,"Sea"
"SS","Nick Ahmed",2700,"Ari@Col 04:10PM ET",4.521,"Ari"
"OF","Mac Williamson",2700,"Phi@SF 04:05PM ET",4.059,"SF"
"C","Tom Murphy",2700,"Ari@Col 04:10PM ET",0,"Col"
"3B","Jung Ho Kang",2700,"LAD@Pit 08:08PM ET",8.024,"Pit"
"2B/SS","Shawn O'Malley",2600,"StL@Sea 04:10PM ET",2.481,"Sea"
"C","Steve Clevenger",2600,"StL@Sea 04:10PM ET",4.857,"Sea"
"2B/SS","Charlie Culberson",2600,"LAD@Pit 08:08PM ET",3.067,"LAD"
"2B/SS","Ehire Adrianza",2600,"Phi@SF 04:05PM ET",3.500,"SF"
"OF","Gregory Polanco",2600,"LAD@Pit 08:08PM ET",9.371,"Pit"
"3B","Maikel Franco",2600,"Phi@SF 04:05PM ET",6.521,"Phi"
"C","Yadier Molina",2500,"StL@Sea 04:10PM ET",5.729,"StL"
"OF","Rickie Weeks Jr.",2500,"Ari@Col 04:10PM ET",3.185,"Ari"
"1B/3B","David Freese",2500,"LAD@Pit 08:08PM ET",6.394,"Pit"
"3B/SS","Ruben Tejada",2500,"Phi@SF 04:05PM ET",2.000,"SF"
"C","Andrew Susac",2500,"Phi@SF 04:05PM ET",0,"SF"
"C","Tony Wolters",2500,"Ari@Col 04:10PM ET",5.361,"Col"
"1B","Ryan Howard",2400,"Phi@SF 04:05PM ET",4.583,"Phi"
"SS","Freddy Galvis",2400,"Phi@SF 04:05PM ET",5.757,"Phi"
"1B","Tommy Joseph",2400,"Phi@SF 04:05PM ET",6.143,"Phi"
"2B/SS","Greg Garcia",2400,"StL@Sea 04:10PM ET",5.000,"StL"
"OF","Andrew McCutchen",2300,"LAD@Pit 08:08PM ET",7.634,"Pit"
"2B","Kolten Wong",2300,"StL@Sea 04:10PM ET",3.964,"StL"
"C","Mike Zunino",2300,"StL@Sea 04:10PM ET",0,"Sea"
"2B/SS","Cristhian Adames",2300,"Ari@Col 04:10PM ET",2.100,"Col"
"C","Jacob Stallings",2300,"LAD@Pit 08:08PM ET",3.500,"Pit"
"C","Cameron Rupp",2300,"Phi@SF 04:05PM ET",6.681,"Phi"
"C","Trevor Brown",2300,"Phi@SF 04:05PM ET",4.306,"SF"
"OF","Boog Powell",2300,"StL@Sea 04:10PM ET",0,"Sea"
"OF","Carl Crawford",2200,"LAD@Pit 08:08PM ET",3.067,"LAD"
