"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RP","Santiago Casilla",4000,"Phi@SF 04:05PM ET",3.492,"SF"
"RP","Brandon League",4000,"LAD@Pit 08:08PM ET",0,"LAD"
"RP","Joe Blanton",4000,"LAD@Pit 08:08PM ET",3.971,"LAD"
"RP","Jonathan Broxton",4000,"StL@Sea 04:10PM ET",2.287,"StL"
"RP","Tom Wilhelmsen",4000,"StL@Sea 04:10PM ET",0.011,"Sea"
"RP","Chin-Hui Tsao",4000,"LAD@Pit 08:08PM ET",-0.325,"LAD"
"RP","Jason Motte",4000,"Ari@Col 04:10PM ET",2.157,"Col"
"RP","Brad Ziegler",4000,"Ari@Col 04:10PM ET",2.606,"Ari"
"SP","Chad Billingsley",4000,"Phi@SF 04:05PM ET",0,"Phi"
"SP","Matt Harrison",4000,"Phi@SF 04:05PM ET",0,"Phi"
"RP","Tyler Clippard",4000,"Ari@Col 04:10PM ET",3.037,"Ari"
"RP","Edward Mujica",4000,"Phi@SF 04:05PM ET",0,"Phi"
"RP","Boone Logan",4000,"Ari@Col 04:10PM ET",2.313,"Col"
"RP","Jake McGee",4000,"Ari@Col 04:10PM ET",1.406,"Col"
"RP","J.P. Howell",4000,"LAD@Pit 08:08PM ET",1.520,"LAD"
"SP","Steve Johnson",4000,"StL@Sea 04:10PM ET",2.819,"Sea"
"RP","Sergio Romo",4000,"Phi@SF 04:05PM ET",1.575,"SF"
"RP","Michael Broadway",4000,"Phi@SF 04:05PM ET",0.000,"SF"
"RP","David Hernandez",4000,"Phi@SF 04:05PM ET",3.116,"Phi"
"RP","Kenley Jansen",4000,"LAD@Pit 08:08PM ET",3.989,"LAD"
"RP","Seung Hwan Oh",4000,"StL@Sea 04:10PM ET",4.419,"StL"
"RP","Kyle Drabek",4000,"Ari@Col 04:10PM ET",3.500,"Ari"
"RP","Adam Ottavino",4000,"Ari@Col 04:10PM ET",0,"Col"
"SP","Jeff Locke",4000,"LAD@Pit 08:08PM ET",9.397,"Pit"
"RP","Jared Hughes",4000,"LAD@Pit 08:08PM ET",0.717,"Pit"
