,Player Name,Team,Games,Innings Pitched,Starts,Quality Starts,Quality Start %,K/BB,K/9IP,BB/9IP,HR/9IP,Batting Avg on Balls IP,Strand Rate,FB VLO,ERA,Fielding Ind Pitching
307,Kyle Ryan,DET,25,25.3,0,0,0.0,3.0,5.33,1.78,0.36,0.315,77.4,88.5,2.84,3.14
308,Fernando Abad,MIN,30,25.0,0,0,0.0,2.88,8.28,2.88,0.36,0.275,80.8,90.6,2.16,2.87
309,Kyle Lobstein,PIT,14,25.0,0,0,0.0,1.25,5.4,4.32,0.72,0.293,74.3,87.4,3.96,4.53
310,Sammy Solis,WAS,20,24.7,0,0,0.0,2.5,10.95,4.38,0.36,0.233,87.5,93.7,1.46,2.8
311,Joe Biagini,TOR,25,24.7,0,0,0.0,1.9,6.93,3.65,0.0,0.365,79.5,0.0,2.92,2.92
312,Jim Johnson,ATL,25,24.7,0,0,0.0,2.88,8.39,2.92,0.73,0.311,62.1,92.5,4.74,3.39
313,Jonathan Papelbon,WAS,25,24.7,0,0,0.0,2.38,6.93,2.92,0.73,0.313,77.4,90.7,3.28,3.72
314,Xavier Cedeno,TB,30,24.3,0,0,0.0,2.67,8.88,3.33,0.37,0.287,66.7,90.5,3.7,2.91
315,Caleb Cotham,CIN,23,24.3,0,0,0.0,1.75,7.77,4.44,1.11,0.378,58.5,92.3,7.4,4.61
316,Kris Medlen,KC,6,24.3,6,1,16.7,0.9,6.66,7.4,0.74,0.356,60.4,90.7,7.77,5.34
317,Trevor Rosenthal,STL,29,24.0,0,0,0.0,1.71,13.5,7.88,1.13,0.441,73.9,96.9,5.63,4.54
318,Mark Lowe,DET,28,24.0,0,0,0.0,1.73,7.13,4.13,3.0,0.348,48.6,92.2,10.13,7.37
319,Shawn Tolleson,TEX,26,24.0,0,0,0.0,2.5,7.5,3.0,2.25,0.335,59.4,93.0,7.13,5.82
320,Adam Liberatore,LAD,32,24.0,0,0,0.0,2.78,9.38,3.38,0.0,0.26,91.7,91.7,0.75,2.28
321,Chris Capuano,MIL,16,24.0,0,0,0.0,1.8,10.13,5.63,2.63,0.282,87.1,88.5,4.13,6.68
322,Robbie Ross,BOS,21,24.0,0,0,0.0,3.33,11.25,3.38,0.38,0.323,70.4,93.9,3.38,2.4
323,Jordan Lyles,COL,7,23.7,5,1,20.0,1.0,5.32,5.32,0.76,0.347,54.8,92.7,7.99,4.95
324,Zach McAllister,CLE,26,23.3,0,0,0.0,2.4,9.26,3.86,1.16,0.334,80.6,94.2,3.47,4.14
325,Pat Neshek,HOU,30,23.3,0,0,0.0,3.67,8.49,2.31,1.54,0.17,73.3,89.1,3.09,4.34
326,Hunter Cervenka,ATL,34,23.3,0,0,0.0,2.21,11.96,5.4,0.39,0.256,76.9,92.7,2.7,2.96
327,Joel Peralta,SEA,26,23.3,0,0,0.0,4.0,10.8,2.7,2.7,0.31,70.8,89.8,5.4,5.63
328,Elvis Araujo,PHI,27,23.0,0,0,0.0,2.15,10.96,5.09,1.57,0.423,72.5,92.3,5.87,4.78
329,Colton Murray,PHI,17,23.0,0,0,0.0,2.0,7.04,3.52,1.57,0.255,72.0,93.5,4.3,5.11
330,Tony Sipp,HOU,31,23.0,0,0,0.0,3.83,9.0,2.35,2.35,0.323,80.8,90.2,4.3,5.4
331,J.P. Howell,LAD,28,23.0,0,0,0.0,1.67,5.87,3.52,0.78,0.276,64.3,85.5,4.7,4.24
332,T.J. McFarland,BAL,14,23.0,0,0,0.0,0.75,2.35,3.13,0.39,0.314,68.6,91.8,4.7,4.32
333,Joe Kelly,BOS,6,22.3,6,1,16.7,1.42,10.88,7.66,1.61,0.429,63.0,95.1,8.46,5.75
334,Chad Qualls,COL,31,22.3,0,0,0.0,1.67,4.03,2.42,1.21,0.346,67.6,90.4,5.64,4.88
335,Taylor Rogers,MIN,20,22.3,0,0,0.0,5.0,8.06,1.61,1.61,0.349,81.5,91.8,3.63,4.29
336,Nick Goody,NYY,19,22.0,0,0,0.0,5.2,10.64,2.05,2.05,0.357,72.0,0.0,4.91,4.5
337,Josh Osich,SF,37,22.0,0,0,0.0,1.45,6.55,4.5,2.05,0.246,80.8,95.3,4.09,6.25
338,Jameson Taillon,PIT,4,22.0,4,2,50.0,3.0,6.14,2.05,1.64,0.298,72.0,94.7,4.5,4.9
339,Cory Rasmus,LAA,14,21.7,1,0,0.0,0.93,5.4,5.82,1.25,0.225,64.3,92.0,5.4,5.8
340,George Kontos,SF,26,21.7,0,0,0.0,3.2,6.65,2.08,1.25,0.25,80.0,91.2,2.91,4.24
341,Ryan Vogelsong,PIT,12,21.7,2,0,0.0,1.6,6.65,4.15,1.25,0.296,79.3,91.0,3.74,4.95
342,Jake McGee,COL,24,21.7,0,0,0.0,2.5,6.23,2.49,1.25,0.352,71.0,93.5,4.98,4.47
343,Tom Wilhelmsen,TEX,21,21.3,0,0,0.0,1.22,4.64,3.8,2.95,0.387,55.0,94.3,10.55,7.74
344,Jon Moscot,CIN,5,21.3,5,0,0.0,1.0,4.22,4.22,4.22,0.242,65.4,90.7,8.02,9.81
345,Tom Layne,BOS,23,21.0,0,0,0.0,1.9,8.14,4.29,0.43,0.285,69.2,90.1,3.86,3.49
346,Andrew Triggs,OAK,11,21.0,1,0,0.0,3.8,8.14,2.14,1.71,0.364,53.6,90.7,7.29,4.6
347,Jared Hughes,PIT,26,21.0,0,0,0.0,0.75,3.86,5.14,1.29,0.314,77.1,92.5,4.71,5.97
348,Taylor Jungmann,MIL,5,20.7,5,0,0.0,1.0,5.66,5.66,1.31,0.346,51.4,89.5,9.15,5.78
349,Liam Hendriks,OAK,14,20.7,0,0,0.0,22.0,9.58,0.44,1.31,0.453,58.1,94.0,6.97,3.11
350,A.J. Achter,LAA,12,20.3,0,0,0.0,2.25,3.98,1.77,2.21,0.293,83.3,91.0,3.98,6.12
351,Jose Urena,MIA,16,20.3,0,0,0.0,1.2,5.31,4.43,0.89,0.346,55.9,95.1,7.52,4.82
352,Jerry Blevins,NYM,33,20.3,0,0,0.0,4.2,9.3,2.21,0.44,0.278,84.2,88.3,1.77,2.54
353,Darren O'Day,BAL,22,20.0,0,0,0.0,2.78,11.25,4.05,2.25,0.293,90.9,86.2,3.15,5.35
354,Steve Geltz,TB,21,20.0,0,0,0.0,2.83,7.65,2.7,4.5,0.169,64.3,92.4,6.75,8.93
355,Aroldis Chapman,NYY,21,20.0,0,0,0.0,10.33,13.95,1.35,0.9,0.355,76.5,99.8,2.7,1.87
356,Jeff Manship,CLE,23,20.0,0,0,0.0,1.1,4.95,4.5,1.35,0.261,88.5,90.9,2.7,5.6
357,Chris Withrow,ATL,25,19.7,0,0,0.0,1.27,6.41,5.03,0.92,0.239,70.8,93.2,4.12,4.83
358,Brandon Kintzler,MIN,20,19.7,0,0,0.0,7.0,6.41,0.92,1.83,0.252,87.5,92.5,2.75,4.74
359,Andrew Chafin,ARI,27,19.7,0,0,0.0,2.56,10.53,4.12,0.46,0.393,46.7,93.0,7.78,2.94
360,Eric O'Flaherty,ATL,27,19.3,0,0,0.0,3.0,6.98,2.33,1.4,0.358,59.3,90.5,6.52,4.47
361,Tim Adleman,CIN,4,19.3,4,1,25.0,1.78,7.45,4.19,1.4,0.28,79.2,0.0,3.72,5.01
362,Nick Wittgren,MIA,15,19.0,0,0,0.0,5.25,9.95,1.89,0.95,0.301,77.8,91.7,2.84,3.01
363,Chasen Shreve,NYY,19,19.0,0,0,0.0,4.0,7.58,1.89,3.32,0.21,71.4,91.4,5.21,6.96
364,Drew VerHagen,DET,19,19.0,0,0,0.0,1.43,4.74,3.32,1.42,0.365,62.5,94.4,7.11,5.34
365,Oliver Perez,WAS,30,19.0,0,0,0.0,3.0,11.37,3.79,0.47,0.351,62.5,91.6,4.74,2.66
366,Boone Logan,COL,28,19.0,0,0,0.0,3.0,11.37,3.79,0.0,0.289,65.0,93.1,3.32,1.98
367,Deolis Guerra,LAA,11,18.7,0,0,0.0,0.0,7.71,0.0,0.48,0.262,61.5,90.0,2.89,2.18
368,Casey Kelly,ATL,8,18.7,1,0,0.0,0.83,2.41,2.89,0.48,0.344,64.5,89.9,5.79,4.36
369,Greg Mahle,LAA,24,18.3,0,0,0.0,1.4,6.87,4.91,1.96,0.335,75.9,87.1,5.4,6.2
370,Christian Bergman,COL,9,18.3,1,0,0.0,4.75,9.33,1.96,1.47,0.402,65.4,89.5,5.89,3.93
371,Alex Claudio,TEX,13,18.0,0,0,0.0,2.75,5.5,2.0,0.5,0.356,69.2,85.1,4.5,3.39
372,Joaquin Benoit,SEA,18,18.0,0,0,0.0,1.73,9.5,5.5,1.5,0.257,72.7,94.0,4.5,5.15
373,Matt Bush,TEX,20,18.0,0,0,0.0,3.8,9.5,2.5,0.5,0.29,83.3,0.0,2.0,2.67
374,Daniel Mengden,OAK,3,18.0,3,2,66.7,3.5,10.5,3.0,1.5,0.32,85.0,91.8,3.0,4.07
375,Ian Krol,ATL,22,18.0,0,0,0.0,3.43,12.0,3.5,1.0,0.359,86.4,94.2,2.5,3.18
376,Tyler Anderson,COL,3,17.7,3,1,33.3,6.0,9.17,1.53,0.0,0.361,76.2,90.6,2.55,1.69
377,J.J. Hoover,CIN,17,17.7,0,0,0.0,1.5,7.64,5.09,4.08,0.341,46.4,91.6,11.72,9.14
378,Peter Moylan,KC,12,17.7,0,0,0.0,3.2,8.15,2.55,0.51,0.36,75.0,89.6,3.57,3.0
379,Bryan Morris,MIA,24,17.7,0,0,0.0,1.3,6.62,5.09,2.04,0.23,90.5,93.0,3.06,6.43
380,Charlie Morton,PHI,4,17.3,4,2,50.0,2.38,9.87,4.15,0.52,0.319,68.2,94.3,4.15,3.19
381,Jason Grilli,ATL,21,17.0,0,0,0.0,1.77,12.18,6.88,1.06,0.36,70.4,92.0,5.29,4.39
382,Matt Purke,CWS,10,17.0,0,0,0.0,1.4,7.41,5.29,0.0,0.359,65.5,92.5,5.29,3.38
383,Dana Eveland,TB,21,16.7,0,0,0.0,1.31,9.18,7.02,1.62,0.375,64.5,89.2,7.56,5.92
384,Steve Johnson,SEA,16,16.7,0,0,0.0,1.55,9.18,5.94,1.62,0.25,76.2,89.0,4.32,5.55
385,Rob Scahill,PIT,15,16.3,0,0,0.0,2.17,7.16,3.31,0.55,0.34,69.6,93.6,4.41,3.54
386,Joba Chamberlain,CLE,17,16.3,0,0,0.0,2.43,9.37,3.86,0.55,0.194,78.6,93.2,2.2,3.24
387,Ryan Webb,TB,17,16.3,0,0,0.0,3.33,5.51,1.65,1.1,0.357,82.6,91.2,3.31,4.14
388,Matt Garza,MIL,3,16.0,3,1,33.3,2.0,4.5,2.25,0.0,0.35,79.2,91.9,2.81,2.98
389,Yu Darvish,TEX,3,15.7,3,0,0.0,3.17,10.91,3.45,0.57,0.304,76.5,93.5,2.87,2.79
390,Robbie Erlin,SD,3,15.7,2,1,50.0,4.33,7.47,1.72,1.72,0.224,66.7,88.0,4.02,4.62
391,Josh Fields,HOU,15,15.7,0,0,0.0,6.67,11.49,1.72,1.15,0.465,58.3,94.5,6.89,2.9
392,Anthony DeSclafani,CIN,3,15.7,3,2,66.7,1.43,5.74,4.02,1.15,0.332,91.7,93.0,2.3,4.97
393,Wilfredo Boscan,PIT,6,15.3,1,0,0.0,1.14,4.7,4.11,1.17,0.269,55.0,90.6,6.46,5.27
394,Tyler Sturdevant,TB,13,15.0,0,0,0.0,2.4,7.2,3.0,0.6,0.359,68.2,91.4,4.8,3.5
395,Josh Smith,CIN,10,15.0,0,0,0.0,2.8,8.4,3.0,1.2,0.298,88.2,91.3,2.4,4.1
396,Tommy Hunter,CLE,15,15.0,0,0,0.0,2.0,4.8,2.4,0.6,0.243,73.3,94.5,3.0,3.83
397,Blake Snell,TB,3,15.0,3,1,33.3,1.71,7.2,4.2,0.0,0.359,83.3,93.5,2.4,3.05
398,Jose Berrios,MIN,4,15.0,4,0,0.0,1.67,12.0,7.2,3.0,0.402,55.6,93.2,10.2,7.35
399,Jarred Cosart,MIA,3,14.7,3,0,0.0,0.53,4.91,9.2,0.0,0.324,58.1,92.7,7.98,5.28
400,Erik Johnson,SD,3,14.7,3,0,0.0,1.6,4.91,3.07,4.3,0.35,60.9,89.8,9.82,9.37
401,Jhan Marinez,MIL,9,14.7,0,0,0.0,6.0,11.05,1.84,0.61,0.421,75.0,94.7,3.68,2.27
402,Miguel Castro,COL,19,14.7,0,0,0.0,2.4,7.36,3.07,1.84,0.338,65.0,96.1,6.14,5.28
403,Zach Eflin,PHI,3,14.3,3,1,33.3,1.5,3.77,2.51,1.88,0.304,63.2,92.9,6.28,5.95
404,Mike Clevinger,CLE,3,14.3,3,0,0.0,1.86,8.16,4.4,1.88,0.322,45.0,92.9,8.79,5.62
405,Zach Neal,OAK,6,14.0,1,0,0.0,0.0,3.21,0.0,2.57,0.317,43.8,0.0,8.36,6.2
406,Craig Breslow,MIA,15,14.0,0,0,0.0,1.75,4.5,2.57,0.64,0.381,75.0,89.5,4.5,4.01
407,Huston Street,LAA,16,13.7,0,0,0.0,0.88,4.61,5.27,0.66,0.292,76.2,87.8,3.95,4.94
408,James Shields,CWS,4,13.7,4,0,0.0,0.62,5.27,8.56,3.29,0.44,48.6,90.3,15.8,9.73
409,Daniel Coulombe,OAK,10,13.7,0,0,0.0,3.0,5.93,1.98,2.63,0.234,75.0,89.6,4.61,6.37
410,Casey Fien,MIN,14,13.7,0,0,0.0,4.0,7.9,1.98,3.29,0.376,63.2,92.9,7.9,6.88
411,Seth Maness,STL,14,13.3,0,0,0.0,1.2,4.05,3.38,0.68,0.388,68.0,87.4,6.08,4.44
412,Buck Farmer,DET,9,13.3,0,0,0.0,2.17,8.78,4.05,0.68,0.245,78.6,93.3,2.7,3.62
413,Brian Flynn,KC,7,13.3,0,0,0.0,2.17,8.78,4.05,0.68,0.222,69.2,92.3,3.38,3.62
414,Scott Oberg,COL,9,13.3,0,0,0.0,1.6,5.4,3.38,1.35,0.288,76.5,93.8,4.05,5.11
415,Casey Fien,LAD,12,13.3,0,0,0.0,6.0,8.1,1.35,2.03,0.26,90.9,92.9,2.7,4.79
416,Scott Alexander,KC,9,13.0,0,0,0.0,2.2,7.62,3.46,0.69,0.353,68.4,89.9,4.85,3.7
